ID,Oku_Text,English_NIV_Equivalent
20,Jekonia bii Shealtiel wɛ ba ə Zelubbabel.,Jeconiah was the father of Shealtiel and Shealtiel the father of Zerubbabel.
21,Zelubbabel nè lu ba Abiud wɛ ba Eliakim wɛ nè luun ba Azol.,Zerubbabel the father of Abihud and Abihud the father of Eliakim and Eliakim the father of Azor.
22,Azol nè lu ba ə Zadok wɛ ba Achim wɛ nè luun ba Eliud.,Azor the father of Zadok and Zadok the father of Akim and Akim the father of Eliud.
23,Eliud nè lu ba Eleaza wɛ ba ə Mattan wɛ nè luun ba ə Jakob.,Eliud the father of Eleazar and Eleazar the father of Matthan and Matthan the father of Jacob.
24,Jakob nè lu ba ə Josɛf wɛ lum ə Mɛɛle.,And Jacob the father of Joseph the husband of Mary.
25,Mɛɛle wɛ əb nè biin Jesus wɛ é toŋten ge: Vi wɛ Feyine nè Yiosen.,And Mary was the mother of Jesus who is called the Messiah.
26,Ghan jii yɛ ke nè ganen nɛ Mɛɛle geese bii Jesus.,This is how the birth of Jesus the Messiah came about.
27,Mɛɛle nêy yɛ lu wiy ə Josɛf.,His mother Mary was pledged to be married to Joseph.
28,É me keele ge Mɛɛle shi nè əblɛɛ əbtaawe nə Keyioy Kelanene.,She was found to be pregnant through the Holy Spirit.
29,Josɛf nè lu wel əbjuŋ.,Joseph her husband was faithful to the law.
30,Nchiy-ndaa nə Báàba Feyin nêy gwiy se wen ɛ jɛm è suuy ge: Josɛf ghàà yɛ fan se liɛ Mɛɛle se wɛ əbvii.,"An angel of the Lord appeared to him in a dream and said ""Joseph do not be afraid to take Mary home as your wife."""
31,Bek ge əb chia nè əblɛɛ kɛn əbtaawe nə Keyioy Kelanene.,Because what is conceived in her is from the Holy Spirit.
32,Əb nêy bii wán əbluumen é wè chio ɛyghel ə wen ge Jesus.,She will give birth to a son and you are to give him the name Jesus.
33,Bek ge əb nêy boyse ghel ə wen se ghene mbeese.,Because he will save his people from their sins.
34,Wándɛ ngon əblee nêy chia nè əblɛɛ.,The virgin will conceive and give birth to a son.
35,Feyine lu ghesen nè ghene.,God with us.
36,Josɛf me yɛmen è nɛɛy kɛn ka nchiy-ndaa nə Báàba Feyin kè suuyen.,When Joseph woke up he did what the angel of the Lord had commanded him.
37,É nè bii Jesus ɛ ntɛke Betlehem ɛ ɛylak ə Judea.,Jesus was born in Bethlehem in Judea.
38,Nè lu əbliy fô nɛ əbfon wɛ Helod sake ɛylake ten.,This was during the time of King Herod.
39,Ghes kè yɛn fenjes ə wen ka fe yɛnsen ɛ ɛyyio è me lòò è se kɛŋe gwiye se kokse wen.,We saw his star when it rose and have come to worship him.
40,Əbfon wɛ Helod yio kenəə ten ke jefse ɛytof ə wen.,When King Herod heard this he was disturbed.
41,Wè wɛ Betlehem ɛ ntɛke Judea wè dì báà se lu kɛn fentɛktese ɛ məme ntɛke sé Juda.,But you Bethlehem in the land of Judah are by no means least among the rulers of Judah.
42,Bek ge əbfon wɛ əb náà yɛ sake ghel ə ghome ghɛ Islael é nêy fəy ɛ ghɛne məm.,For out of you will come a ruler who will shepherd my people Israel.
43,Ghɛn ndu ɛ Betlehem è loote kɛŋ ghaa wan ten luun.,Go and search carefully for the child.
44,Fe me se bane nduu ɛ ghene mbiy dine jii se ghene.,The star they had seen when it rose went ahead of them.
45,È ndu ləysen bene fɛ wan vi nè luun.,It stopped over the place where the child was.
46,Ghene yɛn wán vi ghene no ə wene Mɛɛle.,They saw the child with his mother Mary.
47,È me təm ɛləy ɛ wen ɛyshiɛ è fo ɛykokse se wen.,They bowed down and worshiped him.
48,Ghene fô ɛykokse di è me dise əbbuam ə ghen.,They opened their treasures and presented him with gifts.
49,Tefo tine nè lu: Ɛytian nè kɛlɛye gese nè keyióséne.,Gifts of gold frankincense and myrrh.
50,Feyine suuy se ghene ɛ jɛm ge ghàà ghene kase ndu ghaa Helod luun.,Having been warned in a dream not to go back to Herod.
51,Loole è liɛ wán ghene no ə ten è nyiŋ è ndu nè ghene se Ejibt.,Get up take the child and his mother and escape to Egypt.
52,Josɛf me loole kɛn nɛ ntəke è liɛ wán ghene no ə ten.,So he got up took the child and his mother during the night.
53,Mɛ nè jaŋ wán ə wom əb fəy se Ejibt.,Out of Egypt I called my son.
54,Helod yuyte ghon ɛluumene ɛjim ghɛ é nè bɛɛy ghàà chin nguk sebaa ɛ Betlehem.,Herod gave orders to kill all the boys in Bethlehem who were two years old and under.
55,É lu nɛ é yio ka fezəə gwiyen ɛ Lama.,A voice is heard in Ramah.
56,Loole è liɛ wán ghene no ə wen è fiile se ɛylake Islael.,Get up take the child and his mother and go to the land of Israel.
57,Əb ndu dì è se chii ɛ ntɛke Nazalet.,And he went and lived in a town called Nazareth.
58,É nêy yɛ toŋte vi wɛ Feyine nè yiosen ge wele Nazalet.,He will be called a Nazarene.
59,Joon Nfoo Moo ndu əbkwak ɛ Judea è se fekte se ghele.,John the Baptist came preaching in the wilderness of Judea.
60,Ghɛn kubsen tetem ə tɛn è fiile se ɛybame mbee.,"Repent, for the kingdom of heaven has come near."
61,Siyse jii se Báàba nɛyte kevəə jii se wen é ke yɛ nduu ɛ titiy!,"Prepare the way for the Lord, make straight paths for him."
62,Ɛyyiɛ ə wene nè lu nguumese ghene fedioŋe.,His food was locusts and wild honey.
63,Ghene nè lô se taŋle ɛychio ə ghen ge ghene lu nɛ é nɛɛy mbee.,Confessing their sins they were baptized by him in the Jordan River.
64,Ghɛn yɛ nɛɛy əbnəə əbjuŋe se din ge ghɛn kubsenmen tetem ə tɛn.,Produce fruit in keeping with repentance.
65,Mɛ foo nɛ lu moo se ghen se din ge ghɛn kubsenmen tetem ə tɛn.,I baptize you with water for repentance.
66,Dî nɛ əblee nêy gwiy è yɛ foo nɛ lu Keyioy Kelanene gese nè əbvəse se ghele.,But after me comes one who will baptize you with the Holy Spirit and fire.
67,Jesus me lòò ɛ Galilee è gwiy ɛ jio Joldan è yɛn Joon ge əb fó moo se yi.,Jesus came from Galilee to the Jordan to be baptized by John.
68,Jesus fii moo ɛ leghɛ è loo fəy se jio.,As soon as Jesus was baptized he went up out of the water.
69,Əb yɛn Keyioy ə Feyin nɛ ke səəke ka kenlal è guo ɛ wen əbghun.,He saw the Spirit of God descending like a dove and alighting on him.
70,Vin lu wán ə wom wɛ mɛ koŋen nɛ mɛ gese saŋle naa se ŋaŋ kum wen.,"This is my Son, whom I love; with him I am well pleased."
71,Keyioy ə Feyine me liɛ Jesus è ndu nè wen se əbkwak ge Satan momse.,Jesus was led by the Spirit into the wilderness to be tempted by the devil.
72,Satan gwiy è suuy se wen ge: Lòó è yɛ lu ge wɛ lu wán ə Feyin wè bense ɛtiy ghin se keban.,"The tempter said ""If you are the Son of God tell these stones to become bread."""
73,Wele báà se chii kɛn se əbfua-əbyiéne wele chii se giɛ sejim sɛ se fəyen ɛ Feyine əbchio.,"Man shall not live on bread alone, but on every word that comes from the mouth of God."
74,Wè báà se lu se momse Báàba wɛ Feyin ə fiɛ.,Do not put the Lord your God to the test.
75,Wè lu se yɛ kokse kɛn Báàba wɛ Feyin ə fiɛ gese fɛle kɛn se wen.,"Worship the Lord your God, and serve him only."
76,Satan me lòò è vəse Jesus se fo.,Then the devil left him.
77,Nchiyse-ndaa nə Feyine gwiy è giamten wen.,Angels came and attended to him.
78,Jesus nɛy yio ge é viimen Joon se nchak è me lòò è ndu ɛ Galilee.,When Jesus heard that John had been put in prison he withdrew to Galilee.
79,Ghel ghɛ é chiin ɛ nfiine nêy yɛn nɛ ɛybane gwiye se ghene naa se ŋaŋ.,The people living in darkness have seen a great light.
80,Ghɛn kubsen tetem ə tɛn bek ge ɛysak əbfon ɛyyio shi ɛ keghoo.,"Repent, for the kingdom of heaven has come near."
81,Jesus suuy se ghene ge: Ghɛn gwiy è loo é mɛ nɛɛy é ghɛn yɛ koo nɛ lu ghel.,"Come, follow me, Jesus said"
82,Ghene me vəse əmlam mə ghen kɛn ɛymok è se jumte nduu nè wen.,At once they left their nets and followed him.
83,Jesus me lòò è se ghane Galilee əbjim.,Jesus went throughout Galilee.
84,Dinte əbnəə se ghele ɛ ghene ngayse ɛyjem.,Teaching in their synagogues.
85,Fekte sakghɛ əbjuŋ wɛ kum ɛysak ə Feyin.,Proclaiming the good news of the kingdom.
86,Gese chuke naa tenkii teyaf tejim.,And healing every disease and sickness.
87,Ke lu kejuŋ se ghel ghɛ é tanen se keyioy bek ge ɛysak əbfon ɛyyio lu yé ghene.,Blessed are the poor in spirit for theirs is the kingdom of heaven.
88,Ke lu kejuŋ se ghel ghɛ é diyen bek ge Feyine náà chəmsen ghene.,Blessed are those who mourn for they will be comforted.
89,Ke lu kejuŋ se ghel ghɛ é liɛn ngeŋse ghen ɛ ntiɛ bek ge ghene náà yiɛ ketuu ntiɛ.,Blessed are the meek for they will inherit the earth.
90,Ke lu kejuŋ se ghel ghɛ yafen jeŋ se yɛ nɛɛye kenəə kɛ Feyine kɛŋen bek ge Feyine náà nɛɛy é ghene yɛ lu ɛkulen.,Blessed are those who hunger and thirst for righteousness for they will be filled.
91,Ke lu kejuŋ se ghel ghɛ é koosen ɛysen bek ge Feyine náà koosen ɛysen se ghene.,Blessed are the merciful for they will be shown mercy.
92,Ke lu kejuŋ se ghel ghɛ tetem ə ghene laanen bek ge ghene náà yɛn Feyin.,Blessed are the pure in heart for they will see God.
93,Ke lu kejuŋ se ghel ghɛ é nɛɛyen ge ghele yɛ chii nè əmnyiaŋe bek ge é náà yɛ toŋte ghene ge ghon ə Feyin.,Blessed are the peacemakers for they will be called children of God.
94,Ghɛn lu ɛ mbi fɛn ka fengwaŋe lu ɛ mbas.,You are the salt of the earth.
95,Ghɛn lu ɛybane yé mbii.,You are the light of the world.
96,Ghɛn yɛ nɛɛy əbnəə əbjuŋe kɛn ɛ jii nê ghan ka ghele yɛ yɛn me kokse Ba ə wɛn wɛ əb luun ɛ ɛyyio.,In the same way let your light shine before others that they may see your good deeds and glorify your Father in heaven.
97,Mɛ báà gwiy se buuse əbghene mɛ gwiy se nɛɛy ge əb kwɛn.,I have not come to abolish the law or the prophets but to fulfill them.
98,Wel yafse ɛytem se wan-no ə wen fene é sak wen.,Anyone who is angry with a brother or sister will be subject to judgment.
99,Loo lu ɛyshiɛ ə yiɛ yɛ əbkoy əbtaa yɛ lobte wè ge wè nɛɛy mbee wè chok è maay.,If your right eye causes you to stumble gouge it out and throw it away.
100,Wele yɛ beeme kenəə yɛ lu nɛ əb bééme beemen è tun yɛ lu nɛ əb tun tunen.,All you need to say is simply ‘Yes’ or ‘No’.
101,Mɛ me suuye se ghɛn ge: Wel nɛɛy mbee se wè ghàà wè seese nè mbee.,But I tell you do not resist an evil person.
102,Wele tɛl wè ɛ kegiɛke kɛ əbkoy əbtaa wè bense kelee əb məyse è tɛl.,If anyone slaps you on the right cheek turn to them the other cheek also.
103,Ghɛn yɛ koŋe ghele əbbaanese nə ghɛn jeme se ghel ghɛ é nəksɛn ghɛn.,Love your enemies and pray for those who persecute you.
104,Ghɛn yɛ lu se yɛ nɛɛy əbnəə əbjim ɛ titiy kɛn ka Ba ə wɛn wɛ əb luun ɛ ɛyyio nɛɛyen.,Be perfect therefore as your heavenly Father is perfect.
105,Ghɛn yɛ toknen se yɛ loo nɛɛy kenəə kejuŋe ghɛn yɛ din ge ghele yɛn.,Be careful not to practice your righteousness in front of others to be seen by them.
106,Ba ə wɛs wɛ əb luun ɛ ɛyyio nɛɛy é ghele yɛ ngvəmle ɛyghel ə yiɛ.,Our Father in heaven hallowed be your name.
107,Nɛɛy é ɛysak ə yiɛ gwiy se ghele.,Your kingdom come.
108,É ghele yɛ nɛɛy kenəə kɛ wè kɛŋen ge é yɛ nɛɛy ɛ ntiɛ kɛn ka ke luun ɛ ɛyyio.,Your will be done on earth as it is in heaven.
109,Fó əbfua-əbyiéne se ghɛs lan vin.,Give us today our daily bread.
110,È lɛyse mbee sɛs ka ghɛs lɛyse se ghel ghɛ é jasen se ghɛs.,And forgive us our debts as we also have forgiven our debtors.
111,Nɛɛy é ghɛs jia lii se ɛymomse tɛɛke ghɛs se ɛyfime.,And lead us not into temptation but deliver us from the evil one.
112,Wè yɛ loo bam əbfua-əbyiéne wè ko suu ɛykek ə yiɛ è sol nè keyióséne.,But when you fast put oil on your head and wash your face.
113,Ghɛn yɛ baate ɛykɛŋ ə yɛn ləme nɛ lu ɛyyio.,But store up for yourselves treasures in heaven.
114,Ke lu dî bek ge ɛykɛŋ ə wele lòó lu ghááy ɛytem ə wene yɛ lu fô.,For where your treasure is there your heart will be also.
115,Lòó ghɛn jia yɛ fɛl se Feyine gese fɛle se əbkaa.,You cannot serve both God and money.
116,Ghàà ghɛn yɛ fof kum kefaa kɛ yiɛ gese nè kɛ nəə se geese yɛ chii.,Do not worry about your life what you will eat or drink.
117,Ghɛn liɛ nfek se əmnənmə əm sèè jia lem əbfua-əbyiéne kaa wiy ki wiy techia.,Look at the birds of the air they do not sow or reap or store away in barns.
118,Ghɛn yɛn əbgii ka əb lòó əb yɛ buse jof.,See how the flowers of the field grow.
119,Ghɛn yɛ luŋ nɛ lu se kiile kelen ɛ məme ɛysak nə Feyine gese nɛɛye ka əb kɛŋen.,But seek first his kingdom and his righteousness.
120,É əb náà fo əbfua nê vin se ghɛn əbjim.,And all these things will be given to you as well.
121,Ke me se lu ge ghàà ghɛn yɛ gel kum likebvəchi bek ge likebvəchi lu nè ngekse wene.,Therefore do not worry about tomorrow for tomorrow will worry about itself.
122,Ghàà ghɛn yɛ ghame ghel fɛ Feyine náà gham ghɛn.,"Do not judge, or you too will be judged."
123,Əbfek wɛ wè feken kefaa so se geese fo se wel lu əbghene wɛ Feyine náà fek kiɛ so.,"For in the same way you judge others, you will be judged, and with the measure you use, it will be measured to you."
124,Lu bek ghɛ wɛ wè kiyen ɛykfəke fekak yɛ ey luun ɛ wan-no ə viɛ ɛyshiɛ dî yene wiy kefuŋ kɛ ke luun ɛ yiɛ?,Why do you look at the speck of sawdust in your brother’s eye and pay no attention to the plank in your own eye?
125,Wel əbbuam chia mbiy è fəyse kefuŋ kɛ ke luun ɛ wè ɛyshiɛ.,You hypocrite
126,Ghɛn yɛ bif kɛn bifen é Feyine fó se ghɛn.,Ask and it will be given to you; seek and you will find; knock and the door will be opened to you.
127,Bek ge naa ndɛ bife é Feyine fó se wen.,For everyone who asks receives; the one who seeks finds; and to the one who knocks
128,É Ba ə wɛn wɛ əb luun ɛ ɛyyio jia fo əbfua əbjuŋe se ghel ghɛ é bifen se wen.,How much more will your Father in heaven give good gifts to those who ask him!
129,Ghɛn yɛ nɛɛye kenəə se ghele nɛ lu kɛ ghɛne koŋen ge ghene yɛ nɛɛy se ghɛn.,"So in everything, do to others what you would have them do to you."
130,Ghɛn yɛ lii jii əbchio ndaa əblaytene.,Enter through the narrow gate.
131,Bek ge jii yɛ ey nduun ɛ kemboo əbvəse bonene nɛ əbchio ndaa ghake.,For wide is the gate and broad is the road that leads to destruction.
132,Dî nɛ əbchio ndaa wɛ əb liin nɛ lu ɛychii yɛ ey jia yî mɛye laytee nɛ jii ten taa.,But small is the gate and narrow the road that leads to life.
133,Ghɛn toknen kum nfektese əbbuam.,Watch out for false prophets.
134,Fekak fejuŋe sɛɛ koom əmtam əmjuŋ nɛ fekak febéé koom əmtam əmbee.,Likewise every good tree bears good fruit but a bad tree bears bad fruit.
135,Bek ndee ghen.,By their fruit you will recognize them.
136,Lù kɛn wel vi wɛ əb nɛɛyen kenəə kɛ Ba ə wom wɛ əb luun ɛ ɛyyio kɛŋen ge əb nɛɛy.,Only the one who does the will of my Father who is in heaven will enter the kingdom of heaven.
137,Naa ndɛ wɛ əb yion giɛ ə som shin è yɛ nɛɛye ka mɛ suuyen nêy yɛ lu ka wel əbtofen wɛ əb nè baklen ndaa ɛ wen ɛ ketiɛ kɛ luun ɛyghok.,Everyone who hears these words of mine and puts them into practice is like a wise man who built his house on the rock.
138,Wel wɛ əb yion giɛ som shin nɛɛye wiy ka mɛ suuyen nêy yɛ lu ka kengoo kɛ ke nè baklen ndaa ə wen ɛ kegvəmte əmntie.,Everyone who hears these words of mine and does not put them into practice is like a foolish man who built his house on sand.
139,Əb nè dinte əbnəə se ghene ka wel wɛ əb kiin əbtaawe.,He taught as one who had authority.
140,Báàba loo lu nɛ wè koŋe wè nɛɛy é mɛ bonen.,"Lord, if you are willing, you can make me clean."
141,Jesus me nase keghoo è kum wen so è suuy ge: Mɛ koŋe; bonene!,"Jesus reached out his hand and touched the man. ""I am willing"
142,Báàba wel ɛyfɛl nə mɛ nyiŋ ɛ ndaa nè ɛybee əbghun ɛylee kuomen.,"Lord, he said"
143,Jesus me suuy se wen ge: Mɛ nêy gwiy è chuk wen.,Jesus said to him
144,Suŋnen kɛn suŋnen é wel ɛyfɛl nə mɛ me bonen.,"But just say the word, and my servant will be healed."
145,Yɛɛ kfəəye ke gan kɛn ka wè beemen se mɛ.,Go! Let it be done just as you believed it would.
146,Jesus kum keghoo ə wen kenchɛme ké tene me takle.,He touched her hand and the fever left her.
147,Əb nè fii gon ə sɛs è gese buuse teyaf ə sɛs.,He took up our infirmities and bore our diseases.
148,Wanwel ki wiy kelik kɛ əb nyiŋse ketuu ɛ ten è zəəle.,The Son of Man has no place to lay his head.
149,Gwiy é lòò é ghii dii ghɛ é lɛyenmen yɛ gvəəme ghel ghɛ kuon.,"Follow me, and let the dead bury their own dead."
150,Jesus ghene ghon-ɛyfɛl nə wene me lii se kenək è loo ndu.,Then he got into the boat and his disciples followed him.
151,Əb kɛy mfəme yi gese nè jio yi əblike se lu nyiaŋ.,He got up and rebuked the winds and the waves
152,Vin lu ɛynkii wel əbkɛ wɛ mfəme gese nè jio yionen se wen?,What kind of man is this? Even the winds and the waves obey him!
153,Wan ə Feyin wè kɛŋe se nɛɛy ghɛ se ghɛs?,"What do you want with us, Son of God? they shouted."
154,Jesus fise ge: Ghɛn ndu.,Go! he said to them.
155,Jesus nɛy lii se kenək è se kase diaŋe se wen ə ntɛk.,Jesus stepped into a boat crossed over and came to his own town.
156,Wan ə wom ghal ɛyteme! Mɛ lɛysemen mbee ə shiɛ.,"Take heart, son; your sins are forgiven."
157,Ghɛn ki tekwaate tebee ɛ ghɛne tetem bek ghɛ?,Why do you entertain evil thoughts in your hearts?
158,Wanwel ki əbtaawe ɛ ketuu ntiɛ se lɛyse mbeese.,The Son of Man has authority on earth to forgive sins.
159,Loole è liɛ əbkun ə viɛ è yɛ kfəəy.,"Get up, take your mat and go home."
160,Jesus nɛy lòò se fô è loo ndu è yɛn wel ɛyfii shile... Matio è suuy se wen ge: Gwiy é loo.,"As Jesus went on from there he saw a man named Matthew... ""Follow me"" he told him."
161,Mɛ báà gwiy se tiyse ghel ɛjuŋe mɛ gwiy se tiyse nɛ lu ghel ɛbee.,"I have not come to call the righteous, but sinners."
162,Lòó wel jia bal ndəy sɛməə nè kensase ndəy sefɛɛ.,No one sews a patch of unshrunk cloth on an old garment.
163,Ghɛɛ ghɛɛ ka lòó é jia kuune əmnduk əmbol ɛ kefaa əmnduk keməə.,Neither do people pour new wine into old wineskins.
164,Jesus me loole ghene wel vi se nduu.,Jesus got up and went with him.
165,Wan ə wom ghal ɛyteme. Ɛytem yɛ wɛ foon se Feyine nɛɛymen wè bónen.,"Take heart, daughter, he said"
166,Jesus me kum ɛshiɛ ə ghen è suuy ge: Ke gan yi kɛn ka ghɛn foon ɛytem se mɛ!,"He touched their eyes and said ""According to your faith let it be done to you."""
167,Ngose wel se lu nè əbchìô əbyúméné suuye ge: Ɛynkii kenəə ghan nè bɛɛy ghàà yi gan ɛ Islael.,"The crowd was amazed and said ""Nothing like this has ever been seen in Israel."""
168,Ɛsaŋe biymen se ɛydio ghel ɛdənene se laaye.,The harvest is plentiful but the workers are few.
169,Ghɛn lon se Bay wɛ ba ɛylem ge əb tinse ghel ɛydən ɛsaŋ nə wen.,"Ask the Lord of the harvest, therefore, to send out workers into his harvest field."
170,Jesus nɛy tooy ghon-ɛyfɛl nə wen ghɛ njio-sebaa ɛyvəm è fo əbtaawe se ghene.,Jesus called his twelve disciples to him and gave them authority.
171,Ghɛne loo ndu ghɛn yɛ fekte se ghele ge: Ɛysak ə Feyine shi ɛ nchiɛ ɛ nchiɛ.,"As you go, proclaim this message: ‘The kingdom of heaven has come near.’"
172,Mɛ fó əbtaawe vin se ghɛn se lólò ghɛn yɛ chuke ghel so se lólò.,Freely you have received; freely give.
173,Mɛ tume ghɛn ka bvəyse njiɛ ɛ məme baase.,I am sending you out like sheep among wolves.
174,Ke me se lu ge ghɛn yɛ feesen ka yiose dì gese loole ge wèè ka əbnlal dì.,Therefore be as shrewd as snakes and as innocent as doves.
175,Ghàà wel yuy wel... Ghàà ghɛn yɛ fane ghel.,Do not be afraid of those who kill the body but cannot kill the soul.
176,Ghɛn yɛ fan nɛ lu Feyin.,"Rather, be afraid of the One who can destroy both soul and body in hell."
177,Naa ndɛ wɛ əb beemen ɛ ɛyshiɛ nə ghele ge yi lu wel ə wom lu nɛ Wanwel yî beeme wen sɛy.,"Whoever acknowledges me before others, I will also acknowledge before my Father in heaven."
178,Dî nɛ naa ndɛ wɛ əb maan mɛ ɛyshiɛ nə ghele lu nɛ mɛ yî maa sɛy wen.,"But whoever disowns me before others, I will disown before my Father in heaven."
179,Mɛ báà gwiy se nɛɛy é ghele yɛ chii nè əmnyiaŋe mɛ gwiy nè ɛyvəm.,"I did not come to bring peace, but a sword."
180,Naa ndɛ wɛ əb jia liɛ ɛyvəm ə wen è jumte mɛ wel vi báà se lu kekwɛnten.,Whoever does not take up their cross and follow me is not worthy of me.
181,Naa ndɛ wɛ əb nɛɛyen ge é boyse ɛychii ə wen nêy lɛyse.,Whoever finds their life will lose it.
182,Dî nɛ naa ndɛ wɛ əb lɛysen ɛychii ə wen bek mɛ nêy yɛn ɛychii ə wen.,And whoever loses their life for my sake will find it.
183,Naa ndɛ wɛ əb fiisen ghɛn lu nɛ əb fiisen mɛ.,Anyone who welcomes you welcomes me.
184,Jesus nεy mεyse se dinte əbnəə wε əb nè kεηen ge ghon-εyfεl nə wen ghε njio-sebaa εyvəm yε nεεy è me lòò se fo è se ghane ε ntεkse dinte gese fekte kenəə ə Feyin se ghele.,"After Jesus had finished instructing his twelve disciples, he went on from there to teach and preach in the towns of Galilee."
185,Nè lu əbliy fô nε Joon Nfoo Moo lu ε nchak. Əb yio əbnəə wε Jesus wε mboyse nè nεεyen è me tum ghon-εyfεl nə wen,"When John, who was in prison, heard about the deeds of the Messiah, he sent his disciples"
186,é bif se wen ge: Lu wè mboyse wε əb nêy se gwiy moo ghes yε chiyte εychin-a?,"to ask him, 'Are you the one who is to come, or should we expect someone else?'"
187,Jesus fise ge: Ghεn fiile è ndu è suuy se Joon əbnəə wε ghεne yεnen gese yio;,"Jesus replied, 'Go back and report to John what you hear and see:'"
188,"əmnfεfe se yεne əblik, nè εkεblene jεle, nè ghε é yafen nè kensaasee bonene, nè əbchichii yio əbnəə,","The blind receive sight, the lame walk, those who have leprosy are cleansed, the deaf hear,"
189,nè ghel ghε é kuonmen kase loole se εykuo nè ghel ghε nchεkε nchεkε kiile sakghε əbjuη ka é fekten.,"the dead are raised, and the good news is proclaimed to the poor."
190,Nε ke lu kejuη se vi di wε əb báà se maanen mε.,Blessed is anyone who does not stumble on account of me.
191,Ghεn nè ndu ε əbkwak əbyume se yεne ghε?,What did you go out into the wilderness to see?
192,Mε suuy əbluuy ge ghεn nè yεn wel nε əb chia wele ntum nə Feyine.,"I tell you, yes, and more than a prophet."
193,Lu Joon nê vin wε é nyaken ε ηwaale-Feyin kum wen ge:,This is the one about whom it is written:
194,Feyine nè suuy ge mε nêy tum wele ntum nə mε ε wè mbiy é əb siyse jii ə yiε.,"I will send my messenger ahead of you, who will prepare your way before you."
195,Mε suuy əbluuy se ghεn ge se ghel ghε é nè shiin ε ketuu ntiε fεn lu nε wele báà se lu wε əb chian Joon Nfoo Moo.,"Truly I tell you, among those born of women there has not risen anyone greater than John the Baptist;"
196,Dî nε wel wε əb layten è ləysen ε məme εysak nə əbfon εyyio chia Joon.,yet whoever is least in the kingdom of heaven is greater than he.
197,Naa ndε wε əb kiin əbtuule se yio əb yio.,"Whoever has ears, let them hear."
198,Dî nε lòò é keele ge wel ki εytof ə Feyin se kenəə kε əb nεεyen.,But wisdom is proved right by her deeds.
199,Ghεn gwiy se mε ghεn εjim ghε é bεεymen kediile ke se chia ghεn é mε giamten ghεn.,"Come to me, all you who are weary and burdened, and I will give you rest."
200,"Ghεn tuη kembuη ə kom è yε yio se mε bek ge mε lu ge wèè, giεke nè ghele giεken.","Take my yoke upon you and learn from me, for I am gentle and humble in heart,"
201,Ghεn gwiy se mε è kiile εyzəəte ε ghεne tetem.,and you will find rest for your souls.
202,Kembuη ə kome bonene nε kebεεy ə kome yaηsee.,For my yoke is easy and my burden is light.
203,Ko se lu ε keleη əbliy fo Jesus se chia εylem εsaη εylee ε kechii εybam,At that time Jesus went through the grainfields on the Sabbath.
204,"nè jeη yafe ghon-εyfεl nə wen, ghene me se kole əbtuu εsaη, fiksee, kfəle εshiε ten.",His disciples were hungry and began to pick some heads of grain and eat them.
205,"Ghele kenone Falisee yεn kenəə ten, è suuy se Jesus ge: Yεn-a!","When the Pharisees saw this, they said to him, 'Look!'"
