source,target
translate English to Oku: Jesus sat down opposite the place where the offerings were put and watched the crowd putting their money into the temple treasury. Many rich people threw in large amounts.,"Jesus ney diom ɛ ǝbghune kekaŋ ə Feyin, è se kiye ka ghele gwiyen, viin eyfoo a ghen se kekarje Feyin. Ghé ǝmkaa se eydio se gwiye yine ǝbkaa yinen."
"translate Oku to English: Əb bo gwiye eybam, ne chèmè lu ken nkfəəse guose evəə nə wen fene me báà se lu kekwenten ka lòó me yayte.","He is the one who comes after me, the straps of whose sandals I am not worthy to untie.'"
translate Oku to English: nɛy me tum ghele kenone Falisee elee gese nè ghele Helod ɛlee ge é ndu è yɛ gofe Jesus nè tebife.,Later they sent some of the Pharisees and Herodians to Jesus to catch him in his words.
"translate English to Oku: Then he went up and touched the bier they were carrying him on, and the bearers stood still. He said, Young man","Jesus me ndu è fii eghoo se kenak kɛ ab nè lúúsen wen ɛ ten, nɛ ghel ghé é nè lúúsen wen me siyse. Jesus suuy ge: Wel-eykfəə, mɛ suuy se wè ge: Lii sasen!"
"translate English to Oku: I tell you, I will not drink from this fruit of the vine from now on until that day when I drink it new with you in my Father’s kingdom.’",Ghεn keele ge mε jia bo yî kase nəə əmnduk min se chin se ka mε yî yε nəə kefεε ghεsen nε ba ə wom se sake əbfon ə wen.
translate Oku to English: Wè kwaate ge wè lu nde?,"Then they asked him, ""What did he do to you? How did he open your eyes?”"
translate Oku to English: Ghene fise ge: Ghes dì báà se ki ǝbtaawe se yuye wel.,"'But we have no right to execute anyone,' they objected."
"translate Oku to English: Wel ejim wɛ ab nè kooken eysen se mɛ gese nè kum kenəə na yom, Wán-wel-eyfɛl nǎǎ ye kook sêy eysen se wen ɛ leghe wɛ ab nè kase fiilen nè abtaa na wen gese nè na Báǎba Feyin gese nè na nchiyse-ndaa ghé é nè luun kelaanen.","Whoever is ashamed of me and my words, the Son of Man will be ashamed of them when he comes in his glory and in the glory of the Father and of the holy angels."
"translate English to Oku: The one who sent me is with me; he has not left me alone, for I always do what pleases him.”",Bay we ǝb nè tumen me lu ghese wen.
translate Oku to English: Felie wele lòò e wen cybam bek əbnəə əbchio ǝbyúméné we ǝb nè neeyen se ghel eyafkene ne ghene yene.,and a great crowd of people followed him because they saw the signs he had performed by healing the sick.
"translate English to Oku: 'But if we say, ""Of human origin,"" all the people will stone us, because they are persuaded that John was a prophet.'","Dî ne ghesen suuy ge fo wel, é ghel ghe é luun fen tamle ghesen në etiye bek ka ghene nè beemen ge Joon lu nfekte."
"translate Oku to English: Ghel ghɛ ɛ́ nè chiin báksen se wen yen abnəə nè vin, eyfane koo ghene. Əbnəə we tene abjim me saŋken, ghele se ficlc nduu so eylake kfanse ɛ Judea eyjim.","All the neighbors were filled with awe, and throughout the hill country of Judea people were talking about all these things."
"translate English to Oku: Then Judas (not Judas Iscariot) said, 'But, Lord, why do you intend to show yourself to us and not to the world?'","Judas ǝblee ne wiy Iskaliot me bif ge: Báàba, lu bek ghe we wề nêy din ngerŋ ə yie se ghes è jia din se ghé mbii."
translate Oku to English: əb jem dì è kase gwiy se ghon-εyfεl nə wene nε ghene ko bo buune è suuy ge: Ghεn ko bo tɛse buune-a?,"Then he returned to the disciples and said to them, 'Are you still sleeping and resting?"
translate English to Oku: Neither can you bear fruit unless you remain in me.,Lu ghee-ghee ka lòó ghen jia koom əmtam buu ge ghen balen è gok e me ǝbghun.
"translate English to Oku: I tell you, you will not get out until you have paid the last penny.""","Mɛ suuy se wè ge wè băǎ se lòò ɛ ten mok-a ndu è chin se lu ka wè me foen amkaa abjim wɛ ghene me kfiy se wè di."""
translate Oku to English: ǝbliy we ghele Juuse sez yie kechii keghakene ke é tonten ge ké amtaa nè se baksene.,But when the Jewish Festival of Tabernacles was near
"translate English to Oku: Taking the five loaves and the two fish and looking up to heaven, he gave thanks and broke them. Then he gave them to the disciples to distribute to the people.","Jesus me fii amchio əbtaa di ghene shile baane di, è me keele eyyio ɛ eyshaa, è me kokse Feyin kum wen. Jesus me kfaksen è me fo se ghel eyghoŋ na wen ge ghene fò se ghel ejim."
"translate English to Oku: ""When you are brought before synagogues, rulers and authorities, do not worry about how you will defend yourselves or what you will say,","Lòó ghene me fii ghen ɛ te-ndaa-eyjame, ghene ndu nè ghen ɛ ketuu tefon gese nè ghel ghé é nè lu nè abtaa di, ghǎà ghen ye kwaate kum ntie wɛ ghen nǎǎ ye fise-a, ghene kum əbnəə wɛ ghen nǎǎ ye suuy-a."
"translate English to Oku: Someone in the crowd said to him, ""Teacher, tell my brother to divide the inheritance with me.""","Wel əblee ɛ kebaaten ghel sê eydio di me suuy se Jesus ge: ""Ndinte, suuy se nchek na yom ge ab kfaksen ntie wɛ báǎba Feyine nè bosenmen di se ghes."""
translate Oku to English: É Ba ə wɛn wɛ əb luun ɛ ɛyyio jia fo əbfua əbjuŋe se ghel ghɛ é bifen se wen.,How much more will your Father in heaven give good gifts to those who ask him!
"translate Oku to English: Əbtake gese yio, Joon se tiy ghene ghon-ryfel na wen elee ebaa.",The next day John was there again with two of his disciples.
translate Oku to English: Kii nê kine báà se lu ge me yekte ne lu əbghune əbnəə we ghele suuyen kum me.,Not that I accept human testimony;
translate Oku to English: Ghel ryghon ghii fii ǝbkaa vi è me neey ken ka é suuy ge ghene nɛɛy.,So the soldiers took the money and did as they were instructed.
translate English to Oku: And lead us not into temptation but deliver us from the evil one.,Nɛɛy é ghɛs jia lii se ɛymomse tɛɛke ghɛs se ɛyfime.
translate English to Oku: Likewise every good tree bears good fruit but a bad tree bears bad fruit.,Fekak fejuŋe sɛɛ koom əmtam əmjuŋ nɛ fekak febéé koom əmtam əmbee.
translate English to Oku: Herod gave orders to kill all the boys in Bethlehem who were two years old and under.,Helod yuyte ghon ɛluumene ɛjim ghɛ é nè bɛɛy ghàà chin nguk sebaa ɛ Betlehem.
"translate English to Oku: So he said to the man who took care of the vineyard, ’For three years now I’ve been coming to look for fruit on this fig tree and haven’t found any. Cut it down! Why should it use up the soil?’","Ken e leghe ab me suuy se wel-eyyale na wen ge: 'Yen-a, mɛ me gwiymen naa se tefə̀ tetal ge mɛ ye kelee əbkuo ɛ tey nè vin, dí mɛ jia yen-a. Fə̀lten ketuu na wen! əb nè meyte eysak kɛ-a?'"
translate Oku to English: Lòn se ghεne ndintese tesak gese nè ghele kenone Falisee! Ghεn lu nfefsese.,"Woe to you, teachers of the law and Pharisees, you hypocrites!"
translate Oku to English: Lòó é jia bo yε kɛŋe kenəə kεŋen kum wen.,Why do we need any more witnesses?
"translate Oku to English: '""Nɛ ɛ ketuu əbnəə nè vin abjim di, eyjame nè vin me chiì ɛ kebaaten ə ghes nè ghen, ge ghel ghé eb nè koŋen ge ghene lǒ ɛ mbiy fo ge ghene gwiy ɛ ntie nè vin di bǎǎ se neey mok-a, ghene ghel ghé eb nè koŋen ge ghene lǒ ɛ mbiy fo ge ghene gwiy ɛ ntie nè vin di bǎǎ se neey mok-a."""""",'""""And besides all this",between us and you a great chasm has been fixed
translate Oku to English: ghon-εyfεl nə Jesus yεn è se vəke ge: Əbvii vine jefse keyiósén kin lɛ bek ghε,"When the disciples saw this, they were indignant. 'Why this waste?' they asked."
"translate Oku to English: Ghen ndu è suuy se ghon-eyfel nə wene gese nè Bita ge: Əb se nduu & Galilee & ghene mbiy ghaa ghene nêy yen wen, ken ka ab nè suuyen se ghen.","But go, tell his disciples and Peter, ’He is going ahead of you into Galilee. There you will see him, just as he told you.’"""
"translate English to Oku: So the Pharisees and teachers of the law asked Jesus, ""Why don’t your disciples live according to the tradition of the elders instead of eating their food with defiled hands?""""
1302,Jesus fise se ghene ge: Nfekte ye Ezaya nè suuy se ǝbluuy ge ghen lu nfefsese","Ghele kenone Falisee ghii, nề ndintese tesak shii me bif se Jesus ge: Lu bek ghɛ we ghon-eyfel na wè báà se chii ka cbàá ɛbàá a ghesene nè chiin, séy yie nè eghoo se gvan?"
translate English to Oku: What kind of man is this? Even the winds and the waves obey him!,Vin lu ɛynkii wel əbkɛ wɛ mfəme gese nè jio yionen se wen?
"translate Oku to English: Ka Moses nè losen yio & fekak & ǝbliy we ghene nè luun e ǝbkwak, lu ghee-ghee ka é náà lose Wanwel,","Just as Moses lifted up the snake in the wilderness, so the Son of Man must be lifted up,"
"translate English to Oku: Give to everyone who asks you, and if anyone takes what belongs to you, do not demand it back.","Fò se wel ejim wɛ ab nè chakte wè, lòó wel əmoke me fii əbnəə ə vie, ghǎà wè ye chakte sêy."
"translate Oku to English: Wè nǎǎ ye yen əbnəə əmbeey wè ntek ə Kolazin! Wè nǎǎ ye yen əbnəə əmbeey wè ntek ə Betsayda! Bek ka lòó əbnəə abghakene wɛ mɛ nè neeyennen ɛ kebaaten ə ghen nè neeyennen sêy ɛ ntek ə Taya ghene Sidon, ghel fo nǎǎ ye kubsen tetem ə ghene geese, è ghene chə̀nse teychak-te-əbnəə-əmbeey è ghene jame ɛ teymmtə̀.","Woe to you, Chorazin! Woe to you, Bethsaida! For if the miracles that were performed in you had been performed in Tyre and Sidon, they would have repented long ago, sitting in sackcloth and ashes."
translate Oku to English: É nè lie eshie ǝbkaa silva əmmtal ne lu əbkaa ketuu na wen we ghele Islaele nè beemen ge & lak è me lak eylem a wel eybome ntonse so ken ka Báàba nè suuyen se me.,"’They took the thirty pieces of silver, the price set on him by the people of Israel, and they used them to buy the potter’s field, as the Lord commanded me.’"
"translate Oku to English: Dí ndinte-tefise-te-nchil vi me koŋen ge ab ye neey ge ab lu wel-ejunje, è me bife Jesus ge: ""Wel-eyfɛl na yom lu ndɛ-a?"""",But he wanted to justify himself",so he asked Jesus
translate Oku to English: Ghεne lóó é yε luŋ se fəyse fembvəŋ se ghεn əmnduk,dî mii nyam fenkok.
translate English to Oku: for whoever is not against us is for us.,"Wel we ǝb baken wiy ghesen, toke ghesen token."
"translate English to Oku: so he got up from the meal, took off his outer clothing, and wrapped a towel around his waist.","Ka é yien ǝbfua-ǝbyićne dî ǝb me loole è chok ndǝyse wene sé beye è lie kenfikse ǝbghun è chǝn se wene ǝmkenken,"
"translate English to Oku: So too, a Levite, when he came to the place and saw him, passed by on the other side.","Nè lu ka wel ə Lefi əblee gese me gwiy è chin ɛ əbliy fo, è yen wen, è ab me gese lake wen è kase fiile ɛ eynchie eymnduk."
translate Oku to English: Wel wε əb nè kiilen əbbuam əbkaa əbbua lii è nyiŋse əbbuam əbkaa əbkεεk è suuy ge: Babεy wè nè fo əbbuam əbkaa se mε əbbua mε nè yese è béélé əbwεy è yiɛ sɛk əbbuam əbkaa əbbua.,"The man with two bags of gold also came. 'Master,' he said, 'you entrusted me with two bags of gold; see, I have gained two more.'"
"translate English to Oku: But Jesus knew what they were thinking and said to the man with the shriveled hand, Get up and stand in front of everyone."" So he got up and stood there.""","Dí Jesus me keele əbnəə wɛ ghene nè kwaaten di, è me suuy se wel eghoo-eykuo vi ge: Lii sasen è ndu è siyse ɛ kebaaten. əb me lii sasen è siyse."
"translate Oku to English: Əb fise ge: Naa nde we ǝb jumen wiy a wen, è ndu əbvii əbchin lu ne ǝb jas se ǝbvii wê mbiy bek ka ǝb liin nchiine kenjaŋ","He answered, ""Anyone who divorces his wife and marries another woman commits adultery against her."
translate Oku to English: nè ghel ghε é kuonmen kase loole se εykuo nè ghel ghε nchεkε nchεkε kiile sakghε əbjuη ka é fekten.,"the dead are raised, and the good news is proclaimed to the poor."
"translate Oku to English: Jesus me suuy se wen ge: Ghensen suuy we dì fene lòó wè ye kfǝǝy, eyfime tene fǝymen se wan ə vie ǝblee.","Then he told her, ""For such a reply, you may go; the demon has left your daughter."""
"translate English to Oku: ""Please come and put your hands on her so that she will be healed and live.""","Kiy wè ko gwiy è lem eghoo ǝ ghiɛ e wen a ketuu é ab bonen, è yɛ chii."
"translate English to Oku: What good will it be for someone to gain the whole world, yet forfeit their soul?",Wele nêy yε kiile ghε bek ge əb ləysen mbi εjim è me lεεy εychii ə wen?
translate English to Oku: He touched her hand and the fever left her.,Jesus kum keghoo ə wen kenchɛme ké tene me takle.
"translate English to Oku: He replied, 'As you enter the city, a man carrying a jar of water will meet you.","ǝb suuy se ghene ge: Yen-al Ghene loo lii e ntek, é ghene ghe wel konen ne ǝb beɛy nton a moo."
"translate English to Oku: When evening came, Jesus was reclining at the table with the Twelve.",Nêy se lu ε likfəə Jesus ghene ghon-εyfεl nə wen ghε njio-sebaa εyvəmε me diom è se yíɛ.
"translate Oku to English: Jesus ney me lòò se keleje Taya, è tosen jii Sidon ge yi fiile se kechem keghuye ke Galilee, è me chia jii mə Ntek-Se-Eyvəm.","Then Jesus left the vicinity of Tyre and went through Sidon, down to the Sea of Galilee and into the region of the Decapolis."
translate Oku to English: Ghɛn lu ɛybane yé mbii.,You are the light of the world.
"translate Oku to English: Jesus me bif se ghene ge: Ghen le maa kenǝǝ ke ngan yine dinen, é ghen nêy keele lɛɛy ngan selee?","Then Jesus said to them, ""Don’t you understand this parable? How then will you understand any parable?"""
translate English to Oku: fene əb kan nε lu kaba ə Feyin ghene wel wε əb diom ε ten.,Wele suuy kenəə è kan εyyio
"translate English to Oku: Jesus said to them, 'Very truly I tell you, unless you eat the flesh of the Son of Man and drink his blood, you have no life in you.","Jesus me suuy se ghene ge: Me suuy ǝbluuy se ghen ge: Loo lu ghene jia yie ǝbghun ə Wanwel, è gese nəə əmndun mə wen, é ghen jia ye ki eychii e məm nə ghen."
"translate Oku to English: Ghene se fiele di e leghe, Jesus me sasen, è fay e ghene məm è suuy se ghene ge: Nyian ye lu se ghen.","When he had said this, he showed them his hands and feet."
translate Oku to English: Əb fise ge: Ghεn lii ndu ε mεme ntεk é ghεn yεn wel əblee è suuy se wen ge:,"He replied, 'Go into the city to a certain man and tell him:"
"translate English to Oku: As the time approached for him to be taken up to heaven, Jesus resolutely set out for Jerusalem.","Se lu ka chuy nè bǎǎ se koo ge Feyine nǎǎ ye fii Jesus eyyio ɛ eyshaa di, Jesus me kfiy ketuu na wen ge ab ndu ɛ Jolesalem."
"translate English to Oku: For all those who exalt themselves will be humbled, and those who humble themselves will be exalted.""","Bek ka wel ejim wɛ ab nè lə̀ə̀sen kfəl na wen, Feyine nǎǎ ye shǎlte wen, nɛ wel wɛ ab nè shǎlten kfəl na wen, Feyine nǎǎ ye lə̀ə̀sen wen."""
"translate English to Oku: 'An enemy did this,' he replied. The servants asked him, 'Do you want us to go and pull them up?'",Əb fise ge: Nεεy wel əbbaanese nə mε. Ghon-εyfεl ghii bif ge: Wè koηe ge ghes ndu è dəəne əbgii ten-a?
"translate Oku to English: Ghon-eyfel nə Jesus keele kenǝǝ ke ke loo è gan, è me bif ge: Báàba, ghes gwete nè fiakse-a?","When Jesus' followers saw what was going to happen, they said, 'Lord, should we strike with our swords?'"
"translate Oku to English: Ghene nêy keste è yɛ lu eysen eysen, se eybame ten é ghen ye saŋle,","You will grieve, but your grief will turn to joy."
"translate English to Oku: Therefore, I tell you, her many sins have been forgiven—as her great love has shown. But whoever has been forgiven little loves little.""
2110,Jesus me suuy se wel-əbvii vi ge: Mɛ lòòmen əbnəə abbaanese na ghu.""","Bek kii nɛ mɛ suuy se wè ge: əbnəə abbaanese na wen abjun abjim əb lòòmen, bek ka ab koŋen mɛ naa se ŋaŋ. Dí wel wɛ Feyine lòòmen əbnəə abbaanese na wen fə̀ fə̀, ab koŋen Feyine fə̀ fə̀."
translate English to Oku: ‘The Teacher says: My appointed time is near. I am going to celebrate the Passover with my disciples at your house.’',Ndinte suuy-a ge əbliy εykuo nə yi kwεnmen nε yi kεŋe ge ghene ghon-εyfεl nə yi yiε Kechii Eyboyse ε wene ndaa.
"translate Oku to English: Nè lu abliy fo nɛ Jesus nè siyse eychie na eymnduk ə Galilee, nɛ eymnduk kə eydio tatan wen, è nǎǎ koo eychie na wen ge ghene yio kenəə kɛ Feyine nè suuyen.","One day as Jesus was standing by the Lake of Gennesaret, the people were crowding around him and listening to the word of God."
"translate English to Oku: The one who comes from above is above all; the one who is from the earth belongs to the earth, and speaks as one from the earth.","Vi di we ǝb lòòn e eyyio lu e ketuu se əbjime, ne vi di we ǝb lòòn e ketuu ntie lu wele ntie, gese sunnen ne lu əbnəə wê ketuu ntie."
"translate Oku to English: Lòó wè nè nduun nè wel-eybee na vie ɛ ketuu wele-kfə̀-əbame di, neey kelaanen geese ɛ eynchii ge ghen neey eyzəəte, bek ka ab nǎǎ ye fii wè ɛ ketuu wele-kfə̀-əbame, nɛ wele-kfə̀-əbame me fii wè ɛ ketuu nchiyse-ndaa, è nchiyse-ndaa me fii wè ɛ ndaa-əbkuo.","As you are going with your adversary to the magistrate, try hard to be reconciled on the way, or your adversary may drag you off to the judge, and the judge turn you over to the officer, and the officer throw you into prison."
"translate English to Oku: After that, he poured water into a basin and began to wash his disciples’ feet, drying them with the towel that was wrapped around him.","è mẹ bààtè moo se kekan eysuu abghun è me kɛɛte se suu evəə ə ghon-eyfel nə wen, fikse nè kenfikse ǝbghun ke ke nè luun & wen əmkenken ki."
translate Oku to English: Jesus fise ge: Ke báà se lu kejuη se wel fəyse əbfua ghon εtεlεε è mak se ghon εbvəy.,"He replied, 'It is not right to take the children’s bread and toss it to the dogs.'"
translate English to Oku: There was a man sent from God whose name was John.,Wel ǝblee nè lo se lu we Feyine nè tumen ne é tonte ge Joon.
translate English to Oku: But the chief priests and the elders persuaded the crowd to ask for Barabbas and to have Jesus executed.,Ka Bailet bifen ge yi se fǝyse nde-a ghele mbiy se ghé ntarŋlee gese nè chee se eylak foo me beyte ngose wel yi ge ghene suuy ge əb fǝyse ne lu Balabbas è yuy Jesus.
translate English to Oku: While I am in the world I am the light of the world.”,"Jesus suuy se ghene ge: Feyine kè loote lu Ba ǝ wen, fene ghen kè korje me, bek ge me nè lòò se Feyine è se lu fen e leenen."
"translate English to Oku: ’You have said so,’ Jesus replied.",Jesus fise ge: Kene lu ka wè suuyen.
"translate English to Oku: Later Jesus found him at the temple and said to him, 'See, you are well again.","Se cybame ten Jesus yen wen e ndaa-eykokse è suuy se wen ge: Yen-a, kiy ka wè bonenmen."
"translate Oku to English: ǝb loo ndu, è se lu se tosen e eylake Samalia.",Now he had to go through Samaria.
"translate English to Oku: Jesus answered: 'Don’t you know me, Philip, even after I have been among you such a long time?","Jesus fise ge: Με nè shi ghesen se əbtəm, ko se lu ne wê ke wiy me-a Filib?"
translate Oku to English: Ghene me se suuye ge: Wel vin le báà se lu Jesus we wán ə Josef-a?,"They said, 'Is this not Jesus, the son of Joseph,"
"translate English to Oku: The woman said to him, 'Sir, give me this water so that I won't get thirsty and have to keep coming here to draw water.'","Əbvii vi me suuy ge: Babey, fó me nè mòò nê min ka kendoje moo jia bo nêy yum me, é me jia bo nêy ye gwiy fen se tuu moo."
translate Oku to English: Ghεne gese dinte ge wel loo lu è suuy kenəə è kan ketatan εytio,fene kii nê kine báà se lu kenəə
"translate Oku to English: Peter me suuy ge: 'Yen-a, ghes me lake ndaa na ghes è ghes fole wè.'","Peter said to him, 'We have left all we had to follow you!'"
"translate Oku to English: Nɛ wè ntek ə Kafelnaum, wè ke ge Feyine nǎǎ ye fii wè eyyio ɛ eyshaa-a? Feyine nǎǎ ye fii wè naa se eydio ɛ eysak-eykuo!","And you, Capernaum, will you be lifted to the heavens? No, you will go down to Hades."
translate Oku to English: Με foo eychii ye ɛy jia yî mey se ghene,ne ghene jia yî kuo. Lòó wel jia dzək ghene se me keghoo.
"translate English to Oku: When the disciples saw this, they were indignant. 'Why this waste?' they asked.",ghon-εyfεl nə Jesus yεn è se vəke ge: Əbvii vine jefse keyiósén kin lɛ bek ghε
translate Oku to English: Fó əbfua-əbyiéne se ghɛs lan vin.,Give us today our daily bread.
"translate Oku to English: Mɛ suuy se ghen ge: Wel ejim wɛ ab nè beenen ɛ ketuu ghel ge ab lu wel ə yom, Wán-wel-eyfɛl nǎǎ ye beene gese ɛ ketuu nchiyse-ndaa na Feyin ge wel vi lu wel ə wen.","""I tell you, whoever publicly acknowledges me before others, the Son of Man will also acknowledge before the angels of God."
translate Oku to English: Me se lu naa wel we Bay nè siysen è tum e mbi fen. Ghen se suuy ge me teyle Feyin bek ka me suuyen ge me lu wán a Feyin leey?,what about the one whom the Father set apart as his very own and sent into the world? Why then do you accuse me of blasphemy because I said
translate English to Oku: Is it lawful to heal on the Sabbath?,Ke lε lu ε titiy ge wel chuk wel ε kechii εybam-a?
translate English to Oku: Let both grow together until the harvest.,Ghεn vəse é əb yε kuy fo əbjim se chin se kechii kε é náà kaa əbfua.
"translate English to Oku: He went on to send another servant, but that one also they beat and treated shamefully and sent away empty-handed.","Əb gese tum wel cyfel nə wen ǝblee, ghene tel wen, è nyable so z jii eybee, è jum ab fiile eghoo eyum."
"translate Oku to English: Filib fise ge: Lòò è yɛ lu ge wel ǝbjime kiile kefaa se yie fene lòó yun keban se ǝbkaa ne ǝb chia denalius eyvie eybaa"".","Philip answered him, 'It would take more than half a year’s wages to buy enough bread for each one to have a bite!'"
"translate Oku to English: Ghele naa fay se rydio è leese ghel nè eyghel a yome suuye ge: Lu me mboyse, gese suuye ge: Əbliye kwenmen.","For many will come in my name, claiming, ""I am he,"" and, ""The time is near."""
"translate English to Oku: But Jesus called the children to him and said, 'Let the little children come to me, and do not hinder them,'","Dí Jesus me yio te-wán di è suuy ge: 'Lakeen te-wán-be-nchichi ge ghene gwiy ɛ eghoo na yom, ghǎà ghen ye fə̀lte ghene mok-a.'"
translate Oku to English: Jesus lòò ghene ghene mè se nduu ε kelik kelee nε é toŋte ge Getsemane é ndu è chin əb suuy se ghon-εyfεl nə wen ghii ge: Ghεn diom fεn é mε keŋte ndu ε mbiy è jem.,"Then Jesus went with his disciples to a place called Gethsemane, and he said to them, 'Sit here while I go over there and pray.'"
translate Oku to English: Ghεn chia è dəəne əbgii vi è kul ε giεse ε giεse è nyok è me dən εsaη è vii se mε əbηwak.,First collect the weeds and tie them in bundles to be burned; then gather the wheat and bring it into my barn.
translate Oku to English: Jesus me bif se ghene ge: Ghene kwaate ge lòó ba a eylem neɛy ghe se ghele tene?,'What then will the owner of the vineyard do to them?'
translate English to Oku: The man replied,Əb fise ge: Əb lu wele ntum na Feyine.
"translate English to Oku: So, because Jesus was doing these things on the Sabbath, the Jewish leaders began to persecute him.",Ghé mbiy nə ghele Juuse me se nakse Jesus bek ka ab kè chuken wel e kechii eybam.
translate Oku to English: Feyine nè suuy se wen ge: Me lu Feyin a Mak Ablaham nè Ayzek gese nè Jakob.,"’I am the God of Abraham, the God of Isaac, and the God of Jacob’?"
"translate Oku to English: 49 Jesus teem è suuy se ghon-eyfel na wene ge: Ghen jaŋ wen. É jan kenfef ki è suuy se wen ge: Kul eyteme. Loole eyyio, ǝb jane wè.","Jesus stopped and said, ""Call him."" So they called the blind man, ""Cheer up! On your feet! He’s calling you."""
translate English to Oku: 'What do you want me to do for you?','Wè nè koŋen ge mɛ neey ndɛ-a se wè-a?'
translate Oku to English: Fò eyshee se ghes ɛ kechii ejim wɛ ghes nè koŋen.,Give us each day our daily bread.
translate Oku to English: Jesus me suuy se ghene ge: Ghene ghe ntem fene báà fo eytem se Feyine. Ghene kerne ge me nêy ye lu ghesen se chin leey? Ghene kerne ge me nêy tǝǝte ghen se chin lɛɛy? Gwiye nè wan ten se me.,"""You unbelieving generation,"" Jesus replied, ""how long shall I stay with you? How long shall I put up with you? Bring the boy to me."""
translate Oku to English: Kenəə ke me suuyen se ghen lu ge: Ghen ye koje ngen a sen.,This is my command: Love each other.
"translate English to Oku: When they found him on the other side of the lake, they asked him, 'Rabbi, when did you get here?'","Ghene yen Jesus e njine jio fey, è bif se wen ge: Ndinte, wè kè gwiy fen e leghe?"
